t,u,v
37.2,-0.612893,-0.223116
37.3,-0.593593,-0.220844
37.4,-0.573236,-0.218424
37.5,-0.551715,-0.215848
37.6,-0.528911,-0.213107
37.7,-0.504688,-0.21019
37.8,-0.478893,-0.207086
37.9,-0.451353,-0.203782
38,-0.421875,-0.200264
38.1,-0.390237,-0.196516
38.2,-0.356192,-0.192521
38.3,-0.319457,-0.188258
38.4,-0.279717,-0.183706
38.5,-0.236617,-0.178838
38.6,-0.189761,-0.173629
38.7,-0.138711,-0.168045
38.8,-0.0829885,-0.162053
38.9,-0.0220807,-0.155613
39,0.0445479,-0.148683
39.1,0.117434,-0.141215
39.2,0.19708,-0.133161
39.3,0.283902,-0.124465
39.4,0.378156,-0.115073
39.5,0.479838,-0.104931
39.6,0.58857,-0.0939857
39.7,0.70348,-0.0821942
39.8,0.823097,-0.0695239
39.9,0.945312,-0.0559599
40,1.06744,-0.0415085
40.1,1.18644,-0.0262004
40.2,1.2992,-0.0100907
40.3,1.40292,0.00674331
40.4,1.49552,0.0242083
40.5,1.57574,0.0422017
40.6,1.64329,0.0606189
40.7,1.69861,0.0793598
40.8,1.74276,0.0983332
40.9,1.77707,0.117459
41,1.80302,0.13667
41.1,1.82203,0.15591
41.2,1.8354,0.175134
41.3,1.84423,0.194305
41.4,1.84948,0.213396
41.5,1.85191,0.232385
41.6,1.85212,0.251254
41.7,1.85062,0.269991
41.8,1.84777,0.288586
41.9,1.84389,0.307031
42,1.83919,0.325321
42.1,1.83386,0.343452
42.2,1.82803,0.36142
42.3,1.82182,0.379225
42.4,1.81531,0.396864
42.5,1.80855,0.414336
42.6,1.80161,0.431642
42.7,1.79451,0.448781
42.8,1.78728,0.465752
42.9,1.77996,0.482557
43,1.77255,0.499196
43.1,1.76507,0.515669
43.2,1.75753,0.531977
43.3,1.74994,0.54812
43.4,1.7423,0.564099
43.5,1.73463,0.579915
43.6,1.72692,0.595569
43.7,1.71917,0.611061
43.8,1.7114,0.626392
43.9,1.70359,0.641563
44,1.69575,0.656575
44.1,1.68788,0.671429
44.2,1.67999,0.686124
44.3,1.67206,0.700663
44.4,1.66411,0.715046
44.5,1.65613,0.729273
44.6,1.64812,0.743345
44.7,1.64007,0.757264
44.8,1.632,0.771029
44.9,1.6239,0.784642
45,1.61576,0.798104
45.1,1.60759,0.811414
45.2,1.59938,0.824574
